LocationID	Treatment	Label	LabelID	Type	Type2	TreeSizeCat	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	7	y	0.85	38	38	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	8	y	0.85	37	37	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	9	y	0.85	35	35	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	10	y	0.85	31	40	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	11	y	0.85	25	25	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	12	y	0.85	23	23	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	13	y	0.85	26	41	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	14	y	0.85	26	26	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	15	y	0.85	29	29	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	16	y	0.85	22	34	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	17	n	0.85	17	17	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	18	n	0.85	19	19	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	19	n	0.85	14	14	Lutjanussp.
6	a	6TL	3	large	large	L	20	-18.172121	178.521477	e	363.3671569	542.6888554	3	20	y	0.85	25	25	Lutjanussp.
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	1	n	0.25	8	8	Lutjanussp.
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	2	n	0.25	6	6	Lutjanussp.
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	3	n	0.25	6	6	Lutjanussp.
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	4	n	0.25	0	0	nogroup
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	5	n	0.25	0	0	nogroup
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	6	n	0.25	0	0	nogroup
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	7	n	0.25	18	18	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	8	y	0.25	20	20	Abudefdufsexfasciatus
5	a	5TL	4	large	large	L	21	-18.173314	178.521103	e	316.9751125	456.28802	0	9	n	0.25	11	11	Abudefdufsexfasciatus
