LocationID	SiteID	Treatment	Label	Type	TreePerimeter	Lat	Long	Aspect	DistIsland	DistReef	TreesWithin50	Timepoint	GroupingProb	Grouping	MedGroupProb	Maxgroupsize	TotalGroupingFish	Predominantspecies
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	12	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	13	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	14	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	15	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	16	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	17	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	18	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	19	0	n	0	0	0	nogroup
7	2	b	7NTL	control	na	-18.1721	178.522833	na	505.8361684	466.9433277	2	20	0	n	0	0	0	nogroup
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	1	0	n	0.15	17	17	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	2	100	y	0.15	23	23	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	3	0	n	0.15	19	19	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	4	100	y	0.15	29	29	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	5	100	y	0.15	27	27	Lutjanussp.
7	2	a	7TL	large	25.8	-18.172106	178.522662	e	487.7925266	475.6395701	3	6	0	n	0.15	13	13	Lutjanussp.
